aX,aY,aZ,gX,gY,gZ
-0.104,-0.992,-0.156,-3.723,-1.221,0.732
-0.112,-1.004,-0.146,-3.052,-0.549,0.305
-0.116,-1.004,-0.139,-1.953,-0.122,0.122
-0.124,-1.002,-0.137,-0.854,-0.244,-0.488
-0.125,-1.014,-0.133,-0.122,-0.122,-0.916
-0.129,-1.025,-0.133,-0.671,-0.122,-0.610
-0.144,-1.032,-0.129,-1.038,-0.183,-0.122
-0.150,-1.041,-0.128,-0.244,-0.610,-0.488
-0.153,-1.048,-0.126,0.854,-1.343,-0.610
-0.155,-1.040,-0.118,1.160,-2.075,-0.427
-0.144,-1.032,-0.107,0.854,-2.075,0.183
-0.138,-1.039,-0.094,0.244,-1.221,0.244
-0.131,-1.051,-0.084,-0.366,-0.427,0.671
-0.123,-1.057,-0.073,-0.610,0.305,1.587
-0.115,-1.052,-0.063,-0.854,0.793,2.808
-0.100,-1.053,-0.044,-1.892,1.831,3.662
-0.079,-1.063,-0.028,-3.357,3.357,4.028
-0.054,-1.065,-0.010,-4.517,5.005,4.700
-0.039,-1.065,0.010,-5.493,7.019,5.737
